,scientific_name,park_name,observations,category,common_names,conservation_status
280,Anemone occidentalis,Yosemite National Park,148,Vascular Plant,White Pasqueflower,
281,Senecio aureus,Yosemite National Park,153,Vascular Plant,Golden Ragwort,
282,Astragalus congdonii,Yellowstone National Park,230,Vascular Plant,Congdon's Milkvetch,
283,Carex,Bryce National Park,80,Vascular Plant,"Carex, Sedge, Sedge Species, Sedges",
284,Lysimachia hybrida,Yellowstone National Park,246,Vascular Plant,"Intermediate Loosestrife, Lance-Leaf Loosestrife",
285,Amaranthus albus,Yellowstone National Park,212,Vascular Plant,"White Amaranthus, White Pigweed",
286,Poa palustris,Yosemite National Park,172,Vascular Plant,"Fowl Bluegrass, Marsh Bluegrass",
287,Melilotus albus,Bryce National Park,85,Vascular Plant,White Sweet-Clover,
288,Quercus michauxii,Bryce National Park,131,Vascular Plant,Swamp Chestnut Oak,
289,Uvularia perfoliata,Great Smoky Mountains National Park,79,Vascular Plant,Perfoliate Bellwort,
290,Thalictrum fendleri,Yosemite National Park,146,Vascular Plant,"Fendler's Meadowrue, Fendler's Meadow-Rue",
291,Epilobium lactiflorum,Yellowstone National Park,239,Vascular Plant,"Broadleaf Willowweed, Milkflower Willowherb, White-Flower Willowherb",
292,Poecile atricapillus,Great Smoky Mountains National Park,97,Bird,Black-Capped Chickadee,
293,Helmitheros vermivorus,Yellowstone National Park,291,Bird,Worm-Eating Warbler,
294,Sequoiadendron giganteum,Yosemite National Park,141,Vascular Plant,"Giant Redwood, Giant Sequoia, Sierra Redwood",
295,Ditrichum pusillum,Yosemite National Park,160,Nonvascular Plant,Ditrichum Moss,
296,Viburnum lantana,Yellowstone National Park,245,Vascular Plant,"Way-Faring Tree, Wayfaring-Tree",
297,Ailanthus altissima,Bryce National Park,73,Vascular Plant,Tree-Of-Heaven,
298,Salix bebbiana,Bryce National Park,86,Vascular Plant,"Bebb's Willow, Gray Willow",
299,Townsendia parryi,Bryce National Park,70,Vascular Plant,"Parry's Townsend Daisy, Parry's Townsendia",
300,Corynorhinus rafinesquii,Yosemite National Park,188,Mammal,Rafinesque's Big-Eared Bat,
301,Nycticorax nycticorax,Great Smoky Mountains National Park,64,Bird,Black-Crowned Night-Heron,Species of Concern
302,Lespedeza hirta,Bryce National Park,106,Vascular Plant,Hairy Bush-Clover,
303,Neckera pennata,Bryce National Park,115,Nonvascular Plant,Neckera Moss,
304,Ageratina occidentalis,Yellowstone National Park,246,Vascular Plant,"Western Eupatorium, Western Joepyeweed, Western Snakeroot",
305,Baeolophus inornatus,Bryce National Park,97,Bird,Oak Titmouse,
306,Ribes cynosbati,Yellowstone National Park,237,Vascular Plant,Prickly Gooseberry,
307,Krascheninnikovia lanata,Yosemite National Park,151,Vascular Plant,Winterfat,
308,Rumex crispus,Yellowstone National Park,256,Vascular Plant,"Curled Dock, Curly Dock",
309,Lonicera involucrata,Yosemite National Park,129,Vascular Plant,"Bearberry Honeysuckle, Twinberry Honeysuckle",
310,Pluvialis dominica,Bryce National Park,111,Bird,"American Golden-Plover, Lesser Golden-Plover",
311,Equisetum scirpoides,Yellowstone National Park,227,Vascular Plant,Dwarf Scouringrush,
312,Spizella pallida,Yellowstone National Park,258,Bird,Clay-Colored Sparrow,
313,Hemitremia flammea,Yellowstone National Park,251,Fish,Flame Chub,Species of Concern
314,Fabronia ciliaris var. polycarpa,Yellowstone National Park,264,Nonvascular Plant,Fabronia Moss,
315,Elymus trachycaulus ssp. subsecundus,Yosemite National Park,146,Vascular Plant,"Bearded Wheatgrass, Slender Wheatgrass, Slender Wild Rye",
316,Erigeron peregrinus var. hirsutus,Yosemite National Park,125,Vascular Plant,Subalpine Fleabane,
317,Eriogonum umbellatum var. nevadense,Great Smoky Mountains National Park,63,Vascular Plant,"Nevada Buckwheat, Sulphur-Flower Buckwheat",
318,Mimulus viscidus,Yosemite National Park,192,Vascular Plant,Sticky Monkeyflower,
319,Juncus orthophyllus,Great Smoky Mountains National Park,77,Vascular Plant,Straightleaf Rush,
320,Limosa fedoa,Yellowstone National Park,266,Bird,Marbled Godwit,Species of Concern
321,Juncus uncialis,Great Smoky Mountains National Park,97,Vascular Plant,Twelfth Rush,
322,Fabronia ciliaris,Bryce National Park,111,Nonvascular Plant,Fabronia Moss,
323,Thaspium barbinode,Great Smoky Mountains National Park,95,Vascular Plant,"Hairy-Jointed Meadow-Parsnip, Meadow-Parsnip",
324,Polystichum scopulinum,Great Smoky Mountains National Park,54,Vascular Plant,"Eaton's Hollyfern, Mountain Hollyfern",
325,Oxalis violacea,Yosemite National Park,159,Vascular Plant,Violet Wood-Sorrel,
326,Comandra umbellata,Yosemite National Park,145,Vascular Plant,Bastard Toadflax,
327,Carex stipata,Bryce National Park,101,Vascular Plant,"Stalk-Grain Sedge, Stipate Sedge",
328,Ribes aureum var. aureum,Yosemite National Park,139,Vascular Plant,Golden Currant,
329,Allophyllum gilioides ssp. gilioides,Great Smoky Mountains National Park,54,Vascular Plant,"Dense False Gilia, Dense False Gilyflower",
330,Ulmus alata,Yosemite National Park,144,Vascular Plant,Winged Elm,
331,Mephitis mephitis,Yellowstone National Park,257,Mammal,Striped Skunk,
332,Rudbeckia fulgida var. fulgida,Yosemite National Park,151,Vascular Plant,Orange Coneflower,
333,Arnica discoidea,Yosemite National Park,153,Vascular Plant,Rayless Arnica,
334,Geum triflorum,Yellowstone National Park,234,Vascular Plant,"Old Man's Whiskers, Prairie Smoke, Prairiesmoke",
335,Draba oligosperma,Great Smoky Mountains National Park,34,Vascular Plant,"Fewseed Draba, Glacier Draba",
336,Cleistes divaricata,Yellowstone National Park,236,Vascular Plant,Spreading Pogonia,
337,Tamias quadrimaculatus,Yellowstone National Park,261,Mammal,Long-Eared Chipmunk,
338,Hedysarum sulphurescens,Yosemite National Park,143,Vascular Plant,White Sweetvetch,
339,Polypodium hesperium,Great Smoky Mountains National Park,68,Vascular Plant,Western Polypody,
340,Galium boreale,Yellowstone National Park,252,Vascular Plant,Northern Bedstraw,
341,Hosta lancifolia,Bryce National Park,125,Vascular Plant,Hosta,
342,Trillium catesbaei,Bryce National Park,94,Vascular Plant,Catesby's Trillium,
343,Larus californicus,Yosemite National Park,136,Bird,California Gull,
344,Rana draytonii,Great Smoky Mountains National Park,43,Amphibian,California Red-Legged Frog,Threatened
345,Fontinalis sullivantii,Bryce National Park,97,Nonvascular Plant,Sullivant's Fontinalis Moss,
346,Clematis occidentalis var. grosseserrata,Yellowstone National Park,247,Vascular Plant,Western Blue Virginsbower,
347,Anemone occidentalis,Great Smoky Mountains National Park,82,Vascular Plant,White Pasqueflower,
348,Anemone patens var. multifida,Great Smoky Mountains National Park,94,Vascular Plant,Cutleaf Anemone,
349,Diervilla sessilifolia,Great Smoky Mountains National Park,81,Vascular Plant,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",
350,Pohlia annotina,Great Smoky Mountains National Park,84,Nonvascular Plant,Pohlia Moss,
351,Astomum muehlenbergianum,Great Smoky Mountains National Park,115,Nonvascular Plant,Muehlenberg's Astomum Moss,
352,Aster patens var. patens,Yosemite National Park,132,Vascular Plant,Late Purple Aster,
353,Limnothlypis swainsonii,Great Smoky Mountains National Park,56,Bird,Swainson's Warbler,
354,Arabis repanda var. greenei,Great Smoky Mountains National Park,78,Vascular Plant,Greene's Rockcress,
355,Brachyelytrum septentrionale,Yellowstone National Park,247,Vascular Plant,Northern Shorthusk,
356,Secale cereale,Bryce National Park,134,Vascular Plant,"Cultivated Rye, Rye",
357,Packera aurea,Great Smoky Mountains National Park,71,Vascular Plant,Golden Ragwort,
358,Delphinium gracilentum,Great Smoky Mountains National Park,75,Vascular Plant,Pine Forest Larkspur,
359,Carex debilis var. interjecta,Yellowstone National Park,239,Vascular Plant,Necklace Sedge,
360,Myriophyllum sibiricum,Yosemite National Park,176,Vascular Plant,"American Watermilfoil, Shortspike Watermilfoil, Siberian Water-Milfoil",
361,Eriophyllum nubigenum,Yosemite National Park,118,Vascular Plant,Yosemite Woolly Sunflower,Species of Concern
362,Cryptantha ambigua,Yosemite National Park,159,Vascular Plant,"Basin Cryptantha, Wickes Cryptantha, Wilkes Cryptantha",
363,Epilobium glaberrimum ssp. glaberrimum,Great Smoky Mountains National Park,72,Vascular Plant,"Glaucus Willowherb, Smooth Willowweed",
364,Sorbus sitchensis var. grayi,Yosemite National Park,153,Vascular Plant,Western Mountain-Ash,
365,Plantago major,Great Smoky Mountains National Park,90,Vascular Plant,"Nipple-Seed Plantain, Plantain",
366,Valeriana occidentalis,Yosemite National Park,154,Vascular Plant,"Small-Flower Valerian, Western Valerian, Western Valeriana",
367,Mimulus moschatus,Yosemite National Park,139,Vascular Plant,"Musk Monkeyflower, Muskflower",
368,Orthocarpus luteus,Bryce National Park,78,Vascular Plant,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",
369,Hoita macrostachya,Yellowstone National Park,263,Vascular Plant,Large Leather-Root,
370,Polytrichum piliferum,Bryce National Park,110,Nonvascular Plant,Polytrichum Moss,
371,Notropis volucellus,Bryce National Park,69,Fish,Mimic Shiner,
372,Poa sylvestris,Yosemite National Park,115,Vascular Plant,Woodland Bluegrass,
373,Artemisia vulgaris,Great Smoky Mountains National Park,86,Vascular Plant,"Common Mugwort, Common Wormwood",
374,Smilax tamnoides,Yosemite National Park,132,Vascular Plant,"Bristly Greenbrier, Hispid Greenbrier",
375,Erigeron compactus,Yosemite National Park,148,Vascular Plant,"Cushion Daisy, Fernleaf Fleabane, Fern-Leaf Fleabane",
376,Clarkia purpurea ssp. viminea,Yosemite National Park,157,Vascular Plant,Winecup Clarkia,
377,Carex stipata var. stipata,Yosemite National Park,174,Vascular Plant,Owlfruit Sedge,
378,Tortella humilis,Bryce National Park,54,Nonvascular Plant,Tortella Moss,
379,Elodea nuttallii,Bryce National Park,120,Vascular Plant,Western Waterweed,
380,Liriodendron tulipifera,Yosemite National Park,148,Vascular Plant,"Tulip Tree, Tuliptree, Yellow Poplar",
381,Sanicula bipinnatifida,Bryce National Park,105,Vascular Plant,Purple Sanicle,
382,Silene antirrhina,Yosemite National Park,163,Vascular Plant,Sleepy Catchfly,
383,Packera werneriifolia,Great Smoky Mountains National Park,45,Vascular Plant,Hoary Groundsel,
384,Pinicola enucleator,Yosemite National Park,149,Bird,Pine Grosbeak,
385,Potamogeton strictifolius,Great Smoky Mountains National Park,58,Vascular Plant,"Narrowleaf Pondweed, Straight-Leaf Pondweed",
386,Desmognathus wrighti,Yellowstone National Park,201,Amphibian,Pigmy Salamander,Species of Concern
387,Bryum lisae,Bryce National Park,155,Nonvascular Plant,Bryum Moss,
388,Holosteum umbellatum,Yosemite National Park,142,Vascular Plant,Jagged Chickweed,
389,Lolium arundinaceum,Yellowstone National Park,247,Vascular Plant,Tall Fescue,
390,Carex aggregata,Yellowstone National Park,279,Vascular Plant,Glomerate Sedge,
391,Anthus rubescens,Yosemite National Park,177,Bird,Water Pipit,
392,Cirsium undulatum,Great Smoky Mountains National Park,84,Vascular Plant,"Gray Thistle, Wavyleaf Thistle, Wavy-Leaf Thistle",
393,Helenium flexuosum,Yosemite National Park,133,Vascular Plant,"Dark-Eyed Sneezeweed, Purple-Head Sneezeweed",
394,Aythya affinis,Great Smoky Mountains National Park,115,Bird,Lesser Scaup,Species of Concern
395,Limosa fedoa,Yosemite National Park,131,Bird,Marbled Godwit,Species of Concern
396,Tipularia discolor,Bryce National Park,57,Vascular Plant,"Cranefly Orchid, Crippled Cranefly",
397,Arenaria aculeata,Great Smoky Mountains National Park,68,Vascular Plant,"Prickly Sandwort, Spiny Sandwort",
398,Juncus diffusissimus,Yellowstone National Park,245,Vascular Plant,"Diffuse Rush, Slimpod Rush",
399,Lutra canadensis,Bryce National Park,127,Mammal,Northern River Otter,
400,Phalaris arundinacea,Yellowstone National Park,201,Vascular Plant,Reed Canary Grass,
401,Antennaria argentea,Yellowstone National Park,249,Vascular Plant,"Silver Pussytoes, Silvery Pussytoes",
402,Sorex monticolus,Yellowstone National Park,252,Mammal,Dusky Shrew,
403,Mimus polyglottos,Great Smoky Mountains National Park,116,Bird,"Mockingbird, Northern Mockingbird",
404,Panicum gattingeri,Great Smoky Mountains National Park,94,Vascular Plant,"Gattinger Panic Grass, Panic Grass",
405,Orobanche uniflora,Bryce National Park,92,Vascular Plant,"Naked Broomrape, One-Flowered Cancer-Root",
406,Nycticeius humeralis,Yellowstone National Park,219,Mammal,Evening Bat,
407,Zonotrichia leucophrys,Yosemite National Park,123,Bird,White-Crowned Sparrow,
408,Rhododendron maximum,Yellowstone National Park,238,Vascular Plant,"Great Laurel, Rosebay Rhododendron",
409,Oxalis montana,Yosemite National Park,161,Vascular Plant,"White Wood-Sorrel, Wood-Sorrel",
410,Salvelinus namaycush,Bryce National Park,76,Fish,Lake Trout,
411,Bryum lisae var. cuspidatum,Yellowstone National Park,228,Nonvascular Plant,Bryum Moss,
412,Mimulus angustatus,Great Smoky Mountains National Park,52,Vascular Plant,Purplelip Pansy Monkeyflower,
413,Thermopsis montana,Yellowstone National Park,261,Vascular Plant,Mountain Goldenbanner,
414,Eleocharis palustris,Yellowstone National Park,242,Vascular Plant,Spike-Rush,
415,Oxalis corniculata,Bryce National Park,92,Vascular Plant,Creeping Woodsorrel,
416,Hypericum mitchellianum,Yellowstone National Park,276,Vascular Plant,"Blue Ridge St. John's-Wort, Mitchell's St.John's-Wort",
417,Senecio fremontii var. fremontii,Yosemite National Park,114,Vascular Plant,Dwarf Mountain Ragwort,
418,Rudbeckia laciniata var. humilis,Yosemite National Park,152,Vascular Plant,Coneflower,
419,Nucifraga columbiana,Bryce National Park,117,Bird,Clark's Nutcracker,
420,Contopus cooperi,Bryce National Park,130,Bird,Olive-Sided Flycatcher,Species of Concern
421,Carex tahoensis,Bryce National Park,124,Vascular Plant,Tahoe Sedge,
422,Bryoandersonia illecebra,Bryce National Park,93,Nonvascular Plant,Bryoandersonia Moss,
423,Polygonatum biflorum var. biflorum,Bryce National Park,67,Vascular Plant,"King Solomon's Seal, Smooth Solomon's Seal",
424,Dodecatheon jeffreyi,Bryce National Park,118,Vascular Plant,Sierrra Shootingstar,
425,Leersia virginica,Great Smoky Mountains National Park,61,Vascular Plant,Virginia Cutgrass,
426,Polygonum douglasii ssp. douglasii,Great Smoky Mountains National Park,58,Vascular Plant,Douglas' Knotweed,
427,Montia chamissoi,Great Smoky Mountains National Park,86,Vascular Plant,"Toadlily, Water Indianlettuce, Water Miner's Lettuce, Water Minerslettuce",
428,Hedysarum sulphurescens,Great Smoky Mountains National Park,102,Vascular Plant,White Sweetvetch,
429,Lysimachia ciliata,Yosemite National Park,141,Vascular Plant,"Ciliate Loosestrife, Fringed Loosestrife",
430,Turdus migratorius,Great Smoky Mountains National Park,69,Bird,American Robin,
431,Urocitellus beldingi,Yosemite National Park,157,Mammal,Belding's Ground Squirrel,
432,Trifolium cyathiferum,Bryce National Park,128,Vascular Plant,Cup Clover,
433,Carex davyi,Yellowstone National Park,201,Vascular Plant,Davy's Sedge,
434,Mirabilis linearis,Yellowstone National Park,265,Vascular Plant,"Four O'Clock, Linearleaf Four-O'Clock, Narrowleaf Four O'Clock, Narrowleaf Four-O'Clock",
435,Viburnum rafinesquianum,Yellowstone National Park,273,Vascular Plant,"Downy Arrowwood, Downy Arrow-Wood",
436,Plethodon aureolus,Bryce National Park,90,Amphibian,Tellico Salamander,
437,Astragalus crassicarpus var. paysonii,Great Smoky Mountains National Park,45,Vascular Plant,"Groundplum Milkvetch, Mountain Groundplum, Payson's Milkvetch",
438,Cinna arundinacea,Great Smoky Mountains National Park,70,Vascular Plant,"Reedgrass, Stout Wood Reed-Grass",
439,Bidens vulgata,Bryce National Park,102,Vascular Plant,Big Devils Beggartick,
440,Digitaria sanguinalis,Yosemite National Park,144,Vascular Plant,"Crabgrass, Hairy Crabgrass",
441,Hymenocallis caroliniana,Bryce National Park,90,Vascular Plant,Carolina Spiderlily,
442,Danthonia unispicata,Great Smoky Mountains National Park,74,Vascular Plant,"Onespike Danthonia, Onespike Oatgrass",
443,Echinochloa crus-galli,Yosemite National Park,159,Vascular Plant,Barnyard Grass,
444,Collinsonia verticillata,Yellowstone National Park,223,Vascular Plant,Whorled Horsebalm,
445,Microseris nutans,Great Smoky Mountains National Park,79,Vascular Plant,"Nodding Microseris, Nodding Silverpuffs",
446,Rana pipiens,Yosemite National Park,136,Amphibian,Northern Leopard Frog,
447,Salix eriocephala,Yosemite National Park,155,Vascular Plant,"Missouri River Willow, Missouri Willow",
448,Sturnus vulgaris,Yosemite National Park,151,Bird,European Starling,
449,Agrostis gigantea,Yellowstone National Park,253,Vascular Plant,Redtop,
450,Chaenactis douglasii var. douglasii,Yosemite National Park,131,Vascular Plant,"Douglas' Dustymaiden, Dusty-Maiden",
451,Eupatorium pilosum,Great Smoky Mountains National Park,66,Vascular Plant,Rough Boneset,
452,Carex tompkinsii,Yosemite National Park,149,Vascular Plant,Thompkins' Sedge,
453,Descurainia sophia,Great Smoky Mountains National Park,61,Vascular Plant,"Flaxweed Tansymustard, Flixweed, Flixweed Tansymustard, Herb Sophia, Herb-Sophia, Pinnate Tansymustard, Tansymustard",
454,Carex phaeocephala,Yosemite National Park,134,Vascular Plant,"Dunehead Sedge, Dunhead Sedge",
455,Thlaspi arvense,Yosemite National Park,159,Vascular Plant,Field Pennycress,
456,Phacelia cicutaria var. cicutaria,Yellowstone National Park,269,Vascular Plant,Caterpillar Phacelia,
457,Anas acuta,Yosemite National Park,105,Bird,Northern Pintail,
458,Juglans nigra,Bryce National Park,101,Vascular Plant,Black Walnut,
459,Astragalus kentrophyta var. tegetarius,Yellowstone National Park,259,Vascular Plant,Mat Milkvetch,
460,Eleocharis quadrangulata,Yellowstone National Park,243,Vascular Plant,Squarestem Spikerush,
461,Peromyscus truei,Yosemite National Park,126,Mammal,"Pi_On Deermouse, Pi_On Mouse, Pinyon Mouse",
